name,group,homepage,source_url
Wensi Ai,Core Team,http://wensi-ai.github.io/,https://behavior.stanford.edu/
Stef Ren,Core Team,https://www.linkedin.com/in/stefren/,https://behavior.stanford.edu/
Cem Gokmen,Core Team,https://www.cemgokmen.com/,https://behavior.stanford.edu/
Yalcin Tur,Core Team,https://www.linkedin.com/in/yalcintur/,https://behavior.stanford.edu/
Minyeong Kim,Core Team,https://minyeongkim.com/,https://behavior.stanford.edu/
Brenda Chen,Core Team,https://www.linkedin.com/in/shiyu-chen-a367a4263/en,https://behavior.stanford.edu/
Andi Xu,Core Team,https://andorexad.github.io/,https://behavior.stanford.edu/
Chengshu Li,Core Team,http://chengshuli.me,https://behavior.stanford.edu/
Josiah Wong,Core Team,http://jowo.me,https://behavior.stanford.edu/
Hang Yin,Core Team,https://hang-yin.github.io,https://behavior.stanford.edu/
Sanjana Srivastava,Core Team,https://www.linkedin.com/in/sanjana-srivastava5/,https://behavior.stanford.edu/
Raven Huang,Core Team,https://qingh097.github.io/,https://behavior.stanford.edu/
Ruohan Zhang,Core Team,https://ai.stanford.edu/~zharu/,https://behavior.stanford.edu/
Jiajun Wu,Core Team,https://jiajunwu.com/,https://behavior.stanford.edu/
Li Fei-Fei,Core Team,https://engineering.stanford.edu/people/fei-fei-li,https://behavior.stanford.edu/
Evans Han,Supporting Team,https://scholar.google.com/citations?hl=en&user=HXED4kIAAAAJ&view_op=list_works&sortby=pubdate,https://behavior.stanford.edu/
Lynn Jin,Supporting Team,https://sites.google.com/usc.edu/linghao-jin,https://behavior.stanford.edu/
Yunfan Jiang,Supporting Team,https://yunfanj.com/,https://behavior.stanford.edu/
Wenlong Huang,Supporting Team,https://wenlong.page/,https://behavior.stanford.edu/
Weiyu Liu,Supporting Team,https://www.weiyuliu.com/,https://behavior.stanford.edu/
Manling Li,Supporting Team,https://limanling.github.io/,https://behavior.stanford.edu/
Yunzhu Li,Supporting Team,https://yunzhuli.github.io/,https://behavior.stanford.edu/
Roberto Martín-Martín,Supporting Team,https://robertomartinmartin.com/,https://behavior.stanford.edu/
Silvio Savarese,Supporting Team,http://cvgl.stanford.edu/silvio/,https://behavior.stanford.edu/
Hyowon Gweon,Supporting Team,https://web.stanford.edu/~hyo/Home.html,https://behavior.stanford.edu/
Karen Liu,Supporting Team,https://profiles.stanford.edu/c-karen-liu,https://behavior.stanford.edu/
Chen Wang,Alumni,https://www.chenwangjeremy.net/,https://behavior.stanford.edu/
Gabrael Levine,Alumni,https://www.gabrael.io/,https://behavior.stanford.edu/
Michael Lingelbach,Alumni,https://github.com/mjlbach/,https://behavior.stanford.edu/
Mona Anvari,Alumni,https://monaanvari.github.io/portfolio/,https://behavior.stanford.edu/
Arman Aydin,Alumni,https://www.linkedin.com/in/arman-aydin-915035185/?trk=public_profile_like_view_actor-name,https://behavior.stanford.edu/
Dhruva Bansal,Alumni,https://dhruvabansal.com/,https://behavior.stanford.edu/
Shyamal Buch,Alumni,https://cs.stanford.edu/~shyamal,https://behavior.stanford.edu/
Roger Dai,Alumni,https://rogerdai1217.github.io/,https://behavior.stanford.edu/
Sujay Garlanka,Alumni,https://sujaygarlanka.com/,https://behavior.stanford.edu/
Ayano Hiranaka,Alumni,https://misoshiruseijin.github.io/,https://behavior.stanford.edu/
Samuel Hunter,Alumni,,https://behavior.stanford.edu/
Minjune Hwang,Alumni,https://mj-hwang.github.io/,https://behavior.stanford.edu/
Emily Jin,Alumni,http://emilyjin.me/,https://behavior.stanford.edu/
Kyu-Young Kim,Alumni,https://kykim0.github.io/,https://behavior.stanford.edu/
Zheng Lian,Alumni,https://profiles.stanford.edu/zheng-lian,https://behavior.stanford.edu/
Alan Lou,Alumni,https://icme.stanford.edu/people/alan-lou,https://behavior.stanford.edu/
Benjamin Martinez,Alumni,https://www.linkedin.com/in/benjamin-j-martinez/,https://behavior.stanford.edu/
Caleb Matthews,Alumni,https://www.linkedin.com/in/caleb-matthews/,https://behavior.stanford.edu/
Manasi Sharma,Alumni,https://github.com/manasi-sharma,https://behavior.stanford.edu/
Jiankai Sun,Alumni,http://web.stanford.edu/~jksun/,https://behavior.stanford.edu/
Claire Tang,Alumni,,https://behavior.stanford.edu/
Jerry Tang,Alumni,https://www.linkedin.com/in/jerry-tang-b37026162/,https://behavior.stanford.edu/
Kent Vainio,Alumni,https://www.linkedin.com/in/kent-vainio-4749b0145/?originalSubdomain=ch,https://behavior.stanford.edu/
Ivan Villa-Renteria,Alumni,https://www.linkedin.com/in/ivillare/,https://behavior.stanford.edu/
Fei Xia,Alumni,https://fxia22.github.io,https://behavior.stanford.edu/
Frank Yang,Alumni,https://yyf20001230.github.io/frank_yang/,https://behavior.stanford.edu/
Arpit Bahety,Alumni,https://arpitrf.github.io/,https://behavior.stanford.edu/
Hanxiao Jiang,Alumni,https://jianghanxiao.github.io/,https://behavior.stanford.edu/
Mingtong Zhang,Alumni,https://robo-alex.github.io/,https://behavior.stanford.edu/
Niklas Vainio,Alumni,https://niklasvainio.com/,https://behavior.stanford.edu/
Bowen Liu,Alumni,https://www.linkedin.com/in/bowen-liu-1012,https://behavior.stanford.edu/
